status,orbital_period,semi_major_axis,planet_radius,transit_duration,insolation_flux,equilibrium_temperature,kepler_magnitude,stellar_radius,stellar_effective_temperature,stellar_surface_gravity,stellar_mass,stellar_metallicity
0,2.701287801,0.0365,6.54,3.3827,527.81,1222.0,15.54,0.91,5550.0,4.468,0.889,-0.04
1,4.49876511,0.0542,2.1,3.7362,389.62,1133.0,15.395,0.969,6075.0,4.486,1.048,-0.12
0,19.651209505,0.1433,12.42,5.2514,67.03,730.0,15.536,1.063,6074.0,4.391,1.014,-0.12
1,5.412203927,0.0591,2.94,2.9472,337.68,1093.0,12.791,1.087,5779.0,4.339,0.941,-0.06
1,41.43958662,0.2288,5.5,10.5989,16.72,516.0,15.4,1.046,5468.0,4.367,0.93,0.22
1,8.35389523,0.0768,2.52,2.2514,91.9,790.0,15.317,0.787,5592.0,4.582,0.862,-0.28
1,4.125543472,0.0529,4.43,3.1744,565.35,1243.0,15.506,1.103,6174.0,4.417,1.162,0.1
1,2.816504904,0.0383,12.21,2.50587,521.13,1219.0,15.052,0.955,5532.0,4.452,0.941,0.14
0,33.93373447,0.1881,7.34,14.561,8.11,430.0,15.716,0.705,5040.0,4.628,0.782,-0.24
1,3.689920099,0.0469,1.89,2.6557,408.99,1147.0,15.242,0.917,5880.0,4.518,1.01,-0.06
1,4.431238488,0.0529,3.25,3.15,351.23,1104.0,15.367,1.015,5714.0,4.428,1.007,0.16
1,11.37936986,0.0993,3.95,2.6255,99.68,806.0,15.367,1.015,5714.0,4.428,1.007,0.16
1,26.39432897,0.1635,3.07,3.573,13.49,489.0,15.234,0.763,5129.0,4.595,0.846,0.02
1,13.57078281,0.1096,2.64,3.3539,89.61,785.0,12.882,1.012,5854.0,4.406,0.951,-0.12
1,7.12594387,0.0711,1.79,3.0014,233.31,997.0,12.791,1.087,5779.0,4.339,0.941,-0.06
0,7.442652004,0.0742,15.03,2.3078,206.78,967.0,15.27,0.956,6108.0,4.469,0.981,-0.3
1,16.38489988,0.1084,2.0,3.0249,8.35,433.0,15.095,0.615,4126.0,4.661,0.633,0.04
1,7.8774163,0.0665,2.16,2.0805,22.18,553.0,15.095,0.615,4126.0,4.661,0.633,0.04
1,36.4454001,0.1847,1.99,4.007,2.88,332.0,15.095,0.615,4126.0,4.661,0.633,0.04
1,3.728732147,0.0455,6.02,2.683,258.34,1023.0,15.523,0.809,5497.0,4.577,0.907,-0.1
1,2.243380573,0.028,1.99,1.1196,107.6,822.0,15.135,0.564,4149.0,4.698,0.578,-0.32
0,10.405998015,0.0855,11.23,6.5036,113.94,833.0,15.562,0.924,5746.0,4.393,0.77,-0.54
1,2.337437946,0.0325,2.34,1.9982,311.16,1070.0,15.334,0.765,5005.0,4.595,0.85,0.14
1,11.59822233,0.0798,2.65,2.5237,5.82,396.0,15.937,0.473,3688.0,4.79,0.503,0.0
1,6.575315881,0.067,5.31,4.3084,251.38,1015.0,15.312,0.989,5992.0,4.415,0.927,-0.32
1,7.275040844,0.0732,4.86,7.5377,113.64,833.0,15.08,0.867,5485.0,4.556,0.986,0.21
1,19.27153892,0.1171,1.93,2.7594,5.66,393.0,15.385,0.56,4077.0,4.702,0.576,-0.24
1,10.06524317,0.076,1.91,1.369,13.43,488.0,15.385,0.56,4077.0,4.702,0.576,-0.24
1,12.3935651,0.0983,2.66,3.8896,49.68,677.0,15.505,0.75,5557.0,4.603,0.832,-0.4
1,43.84439721,0.2395,2.87,6.802,18.77,531.0,12.882,1.012,5854.0,4.406,0.951,-0.12
0,3.341913228,0.0415,21.55,3.813,268.67,1032.0,15.629,0.811,5295.0,4.551,0.853,-0.02
0,1.626630225,0.026,32.43,2.1145,1355.88,1547.0,15.279,0.973,5735.0,4.41,0.889,-0.18
1,2.711504086,0.0401,3.12,3.0099,960.79,1420.0,15.541,1.076,6214.0,4.442,1.169,0.07
1,7.21203748,0.077,3.32,4.0491,260.58,1025.0,15.541,1.076,6214.0,4.442,1.169,0.07
0,14.1798187,0.1137,1.88,2.505,60.35,711.0,15.727,0.878,5799.0,4.539,0.975,-0.1
1,8.47237911,0.0778,2.59,2.7245,75.44,751.0,15.339,0.788,5354.0,4.587,0.884,-0.08
1,60.4189369,0.2884,2.36,5.039,5.49,390.0,15.339,0.788,5354.0,4.587,0.884,-0.08
